County Name,2017,2018,Jan17,Feb17,Mar17,Apr17,May17,Jun17,Jul17,Aug17,Sep17,Oct17,Nov17,Dec17,Jan18,Feb18,Mar18,Apr18,May18,Jun18,Jul18,Aug18,Sep18,Oct18,Nov18,Dec18
Perry,23.0,45.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,2.0,2.0,0.0,0.0,4.0,4.0,10.0,7.0,4.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0
Philadelphia,1709.0,1831.0,197.0,93.0,149.0,157.0,171.0,137.0,160.0,153.0,131.0,139.0,118.0,104.0,144.0,147.0,214.0,235.0,144.0,130.0,176.0,101.0,127.0,139.0,94.0,180.0
Pike,25.0,22.0,4.0,2.0,2.0,2.0,0.0,4.0,2.0,3.0,1.0,2.0,0.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,3.0,0.0,4.0,2.0,3.0,2.0
Potter,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Schuylkill,105.0,86.0,14.0,12.0,12.0,8.0,13.0,9.0,9.0,5.0,8.0,6.0,5.0,4.0,5.0,6.0,7.0,16.0,6.0,3.0,11.0,9.0,4.0,7.0,5.0,7.0
Snyder,5.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0
Somerset,26.0,31.0,4.0,3.0,1.0,3.0,0.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,5.0,1.0,5.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0
Sullivan,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Susquehanna,13.0,13.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
Tioga,12.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0
Union,15.0,9.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0
Unknown,38.0,29.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,3.0,1.0,5.0,2.0,3.0,4.0,1.0,4.0,3.0,0.0,2.0,5.0,1.0,0.0,1.0,3.0,5.0
Venango,22.0,29.0,0.0,3.0,0.0,2.0,3.0,3.0,1.0,3.0,0.0,3.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,0.0,2.0,5.0,0.0,5.0
Warren,5.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0
Washington,114.0,84.0,17.0,10.0,10.0,10.0,9.0,3.0,14.0,9.0,12.0,6.0,5.0,9.0,5.0,5.0,6.0,9.0,7.0,6.0,7.0,9.0,7.0,7.0,9.0,7.0
Wayne,16.0,25.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0
Westmoreland,230.0,184.0,31.0,12.0,14.0,26.0,32.0,15.0,17.0,22.0,28.0,14.0,13.0,6.0,14.0,13.0,23.0,21.0,13.0,5.0,20.0,18.0,12.0,13.0,11.0,21.0
Wyoming,16.0,9.0,1.0,2.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0
York,251.0,237.0,34.0,15.0,12.0,22.0,33.0,11.0,27.0,21.0,26.0,26.0,14.0,10.0,24.0,19.0,16.0,28.0,18.0,18.0,21.0,18.0,23.0,22.0,12.0,18.0
