Week Begin Date,County Name,County Code,County FIPS Code,Latitude/Longitude,Total Intakes,Georeferenced Lat/Long
6/4/18,Pike,52,42103,"(41.332571995, -75.0327092448)",1,POINT (-75.0327092448 41.332571995)
4/17/17,Northumberland,49,42097,"(40.8515092572, -76.7118842273)",0,POINT (-76.7118842273 40.8515092572)
7/2/18,Montgomery,46,42091,"(40.209898739, -75.3725200072)",4,POINT (-75.3725200072 40.209898739)
2/12/18,Cambria,11,42021,"(40.4912749067, -78.7189417385)",1,POINT (-78.7189417385 40.4912749067)
1/14/19,Susquehanna,58,42115,"(41.8205685982, -75.8025030296)",0,POINT (-75.8025030296 41.8205685982)
5/14/18,York,67,42133,"(39.9219253124, -76.7257605231)",4,POINT (-76.7257605231 39.9219253124)
7/3/17,Snyder,55,42109,"(40.7711373692, -77.0725596804)",0,POINT (-77.0725596804 40.7711373692)
11/13/17,Lebanon,38,42075,"(40.3675970024, -76.4618257486)",1,POINT (-76.4618257486 40.3675970024)
10/2/17,Clarion,16,42031,"(41.1927912877, -79.4248360769)",0,POINT (-79.4248360769 41.1927912877)
2/4/19,Potter,53,42105,"(41.7442064382, -77.8987922939)",1,POINT (-77.8987922939 41.7442064382)
